Borough,Block,Lot,Address,ZIP Code,Final 18/19 Actual AV,Tax Class,Bldg. Class,RPIE Year,Status,X Coordinate,Y Coordinate,Latitude,Longitude,Community District,City Council District,Census Tract,BIN,BBL,NTA
Manhattan,162,21,29 PELL STREET,10013,349264,2A,S9,2017,Nonfiler,984739,199718,40.714857,-73.998236,103,1,29,1001696,1001620021,Chinatown
Manhattan,162,47,10 DOYERS STREET,10013,148500,4,K4,2017,Nonfiler,984774,199569,40.714448,-73.99811,103,1,29,1001711,1001620047,Chinatown
Manhattan,162,53,18 BOWERY,10013,896850,4,O8,2017,Nonfiler,985036,199602,40.714538,-73.997165,103,1,29,1001716,1001620053,Chinatown
Manhattan,162,1008,7 CHATHAM SQUARE  #201,10038,107939,4,RB,2017,Nonfiler,984779,199294,40.713693,-73.998092,103,1,29,1001726,1001627501,Chinatown
Manhattan,162,1033,7 CHATHAM SQUARE  #608,10038,88388,4,RB,2017,Nonfiler,984779,199294,40.713693,-73.998092,103,1,29,1001726,1001627501,Chinatown
Manhattan,162,1039,7 CHATHAM SQUARE  #706,10038,88909,4,RB,2017,Nonfiler,984779,199294,40.713693,-73.998092,103,1,29,1001726,1001627501,Chinatown
Manhattan,162,1040,7 CHATHAM SQUARE  #705,10038,66032,4,RB,2017,Nonfiler,984779,199294,40.713693,-73.998092,103,1,29,1001726,1001627501,Chinatown
Manhattan,162,1041,7 CHATHAM SQUARE  #703,10038,116191,4,RB,2017,Nonfiler,984779,199294,40.713693,-73.998092,103,1,29,1001726,1001627501,Chinatown
Manhattan,162,1043,7 CHATHAM SQUARE  #800,10038,224642,4,RB,2017,Nonfiler,984779,199294,40.713693,-73.998092,103,1,29,1001726,1001627501,Chinatown
Manhattan,162,1044,7 CHATHAM SQUARE  #802,10038,93682,4,RB,2017,Nonfiler,984779,199294,40.713693,-73.998092,103,1,29,1001726,1001627501,Chinatown
Manhattan,162,1045,7 CHATHAM SQUARE  #804,10038,86495,4,RB,2017,Nonfiler,984779,199294,40.713693,-73.998092,103,1,29,1001726,1001627501,Chinatown
